noticeIdentifier,noticeVersion,lotIdentifier,classificationType,mainClassificationCode,additionalClassificationCodes,options
41d7ac31-f585-4156-af42-5415f9f2b774,01,LOT-0000,cpv,45420000,,
6b20f242-021d-4a08-8e14-0fc9b29a4e17,01,LOT-0000,cpv,45432130,,
afeff892-c330-4fb8-973c-6b65d1d3c1c1,01,LOT-0001,cpv,45000000,,
a040d776-b7d8-40d6-81c9-b50e1aa6daeb,01,LOT-0001,cpv,45311100,45311200,
f1c9a3f9-c8d4-42b4-9e98-1838d72567e0,01,LOT-0001,cpv,45262670,"45421100,45421131",
a98df0ee-02df-4926-a699-f0264bc70ae4,01,LOT-0000,cpv,45262670,,
2c665769-7e2e-4628-991e-28dcf9c3821a,01,LOT-0000,cpv,45431000,"45430000,45400000,45000000",
d67d21b0-4b54-4ba6-96e2-3b6b23819299,01,LOT-0001,cpv,45421100,"45421132,45421131",
1b85bfe4-fb5b-49bb-84de-474fa2eb9ef5,01,LOT-0001,cpv,45312310,,
adbbb2a3-a548-485c-b584-b649f0cff1b3,01,LOT-0000,cpv,45000000,,
358aa36b-0b4d-406d-b3f0-3823146a9ea6,01,LOT-0001,cpv,45331210,"45331200,42520000",
005970e4-fa83-4d72-b88d-6b8acfe47c4a,01,LOT-0000,cpv,45000000,,
125814cb-3fd3-45fb-8ee4-1940fc409986,01,LOT-0001,cpv,45210000,"45430000,45432130",
5136b73e-1a8c-4623-ba6e-68446d10b433,01,LOT-0000,cpv,45332400,,
615b5280-a5cf-40f2-b7b9-3da4726c7de4,01,LOT-0000,cpv,45311200,,
01a0a39a-b1ce-41e2-a40e-d2a19840eef3,01,LOT-0001,cpv,45000000,,
37ef6440-39ad-4711-b6d8-50cd3e259338,01,LOT-0001,cpv,45261410,45261300,
b66086b4-5a0c-43e5-beff-d9e5bd9b4747,01,LOT-0001,cpv,45262320,,
bdb7cd0f-27a9-49e6-be6e-c80723885512,01,LOT-0000,cpv,45000000,"45453000,45410000,45430000",
7d14c033-c833-4b40-8efc-e2ed271a3c3d,01,LOT-0000,cpv,45331000,,
9d83ea1f-2e6a-4af3-9974-0b8a7823c726,01,LOT-0000,cpv,45331000,,
741f8574-9ba3-434b-bf87-42f565cdff51,01,LOT-0000,cpv,45262670,"45443000,45421100",
85c9a7bb-cf66-405a-93c9-50857968cd15,01,LOT-0000,cpv,45111100,,
77b9119d-d72d-4bca-adc2-6341ef20117a,01,LOT-0000,cpv,45000000,45200000,
