noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
25825652,1,,48161 Münster,,DEA,DEU
25822724,1,,99988 Südeichsfeld OT Diedorf,,DEG,DEU
25822728,1,,99976 Südeichsfeld OT Lengenfeld u. Stein,,DEG,DEU
25822720,1,,99988 Südeichsfeld OT Diedorf,,DEG,DEU
25822712,1,,99988 Südeichsfeld OT Diedorf,,DEG,DEU
25822716,1,,99988 Südeichsfeld OT Diedorf,,DEG,DEU
25822696,1,,09212 Pleißa,,DED,DEU
25822680,1,,04668 Grimma,,DED,DEU
25823724,1,,"Seilerstr. 36, Frankfurt am Main",,DE7,DEU
25827160,1,,Leipzig,,DED,DEU
25825454,1,,"Rotenburg a. d. Fulda, Josef-Durstewitz-Straße 2-6",,DE7,DEU
25822832,1,,85764 Oberschleißheim OT Neuherberg,,DE2,DEU
25822676,1,,01623 Lommatzsch,,DED,DEU
25822640,1,,01069 Dresden-Altstadt,,DED,DEU
25823226,1,,01129 Streckennetz der DVB AG,,DED,DEU
25822548,1,,01833 Dürrröhrsdorf-Dittersbach,,DED,DEU
25822528,1,,"Sachsen-Anhalt, Landkreis Stendal",,DEE,DEU
25823140,1,,25348 bei Glückstadt,,DEF,DEU
25827148,1,,90765 Fürth,,DE2,DEU
25822474,1,,96264 Altenkunstadt,,DE2,DEU
25822536,1,,99096 Erfurt,,DEG,DEU
25825670,1,,47665 Sonsbeck,,DEA,DEU
25826854,1,,"55128 MPI für Polymerforschung, Ackermannweg 10, 55128 Mainz",,DEB,DEU
25825516,1,,89081 Ulm,,DE2,DEU
25825536,1,,66123 Campus Saarbrücken,,DEC,DEU
25825544,1,,72622 Nürtingen,,DE1,DEU
25825552,1,,61203 Reichelsheim,,DE7,DEU
25825484,1,,77652 Offenburg,,DE1,DEU
25823136,1,,06862 Dessau-Roßlau,,DEE,DEU
25823492,1,,10785 Berlin,,DE3,DEU
25825640,1,,48157 Münster-Handorf,,DEA,DEU
25825798,1,,58119 Hagen,,DEA,DEU
25825832,1,,55483 Bärenbach,,DEB,DEU
25825748,1,,44791 Bochum,,DEA,DEU
25826000,1,,85354 Freising,,DE2,DEU
25826028,1,,13359 Berlin,,DE3,DEU
25826032,1,,13359 Berlin,,DE3,DEU
25826036,1,,13359 Berlin,,DE3,DEU
25826044,1,,13359 Berlin,,DE3,DEU
25826086,1,,37075 Goettingen,,DE9,DEU
25826012,1,,13359 Berlin,,DE3,DEU
25826016,1,,13589 Berlin,,DE3,DEU
25826058,1,,23970 Hornstorf OT Rueggow,,DE8,DEU
25825836,1,,"54292 Kersch, Wintersdorf, Ollmuth",,DEB,DEU
200ff04c-a468-4b9e-bd0f-b1b7643c3f77,1,,,,,
b0f6fa43-92ac-4e7c-a8c9-55e3487121b0,2,,,,,
cb0b417c-4949-40cb-babb-8d35ac5ecb26,1,,,,,
86a622d6-b5c8-42ae-8e4e-834ac610f252,2,,,,,
a9a248f5-fa5a-471c-8cb2-30ea888267a3,2,,,,,
533019ec-0a4e-4ace-b65a-80ad779a29ec,01,,,,"Untranslated value (Lutherschule Turnhalle, Dionysiusstraße 52, 27576 Bremerhaven-Lehe)",DEU
b8c743e3-0629-4d28-9e6f-5a669b05f017,01,,,,"Untranslated value (Lutherschule Turnhalle, Dionysiusstraße 52, 27576 Bremerhaven-Lehe)",DEU
57f6110d-aabb-4481-b481-a36e978c631c,1,,,,,
c62abfd1-f12f-483b-ad30-083a126132f6,1,,,,,
25827258,1,,Bundesmeisterei Stralsund,,,DEU
25827454,1,,"Bundesland Brandenburg, Landkreis Oberspreewald-Lausitz, 03205 Groß Jehser, OT Mallenchen",,,DEU
25827482,1,,"79108 IAF Freiburg i. Br., Tullastraße 72",,,DEU
c5ef3499-a4b9-47ec-bc70-26f11a16f0c3,01,LOT-0000,Berlin,12435,DE300,DEU
7b083735-d2fe-4149-b920-ca6a524868e3,1,LOT-0000,,,,
62017582-b322-43ba-b234-99c6d10e7cde,1,LOT-0000,,,,
8168d760-e364-4120-9df0-b30c308f22c7,1,LOT-0000,,,,
ca6a9d29-4645-4b9f-9cbf-ec837f1587f9,01,LOT-0000,Gießen,35398,DE721,DEU
041a3b4a-d1d4-4009-9dcc-6ff36b793ef3,01,LOT-0001,,,DE935,DEU
6bf5b4f6-4a92-47f9-bc92-0d3e550a2fe2,01,LOT-0000,Bremerhaven,27574,DE502,DEU
307bbb8e-7821-42e3-bebc-c5ce607d6d58,01,LOT-0001,,,DE115,DEU
5bf0da81-04b4-4540-a2a1-fa832e81b42d,01,LOT-0000,Bremerhaven,27574,DE502,DEU
fcd29cc5-5683-4216-98b9-bce47074c29b,01,LOT-0000,Kaiserslautern,67663,DEB32,DEU
80a70f68-a454-456f-b5ea-c7d81027ef8b,01,LOT-0000,Traunstein,83278,DE21M,DEU
deebdf92-64cc-4802-981c-de0c3eef80e2,01,LOT-0000,Berlin,10365,DE300,DEU
93613bd8-3bcd-4118-bbce-f56adce48bb4,01,LOT-0000,Offenbach am Main,63075,DE713,DEU
93613bd8-3bcd-4118-bbce-f56adce48bb4,01,LOT-0000,Offenbach am Main,63075,DE713,DEU
7a2bc9a7-8015-4b5e-b0de-841f3a78496b,01,LOT-0001,Hanau,63450,DE719,DEU
0154f570-03d0-4766-90ab-501c3e9c9727,01,LOT-0001,München,85326,DE21B,DEU
9a1b2062-053c-47dc-bc6c-b4cd4604c5f2,01,LOT-0001,,,DE278,DEU
2f51da30-ace1-438c-87f3-d453fea657eb,01,LOT-0001,Radolfzell am Bodensee,78315,DE138,DEU
ddcd7ad8-87a6-4630-8e5c-2b280cfcc3dc,01,LOT-0000,Limburg,65549,DE723,DEU
c214e855-82c8-4204-94b5-4a8bc3c188b8,01,LOT-0001,"Hohenbrunn
","85662
",DE21H,DEU
68799396-9c0b-41bc-84f6-3c646b99051e,01,LOT-0001,Hanau,63450,DE719,DEU
172ae66a-09d6-41d6-aa39-f7a293f9a600,01,LOT-0000,Berlin,10963,DE300,DEU
f183c2f1-a1f6-4252-8ac6-5866d30c6ca4,01,LOT-0001,Hemmingen,30966,DE929,DEU
921b9e0b-9696-467e-a913-ccc15ad1abe6,01,LOT-0001,Nuthetal,14558,DE40E,DEU
e4037a44-d382-4130-95c5-b24bacec472a,01,LOT-0000,St.Wendel,66606,DEC06,DEU
e4037a44-d382-4130-95c5-b24bacec472a,01,LOT-0000,St.Wendel,66606,DEC06,DEU
531ef96a-411b-4e8d-9e60-ba326a97f149,01,LOT-0000,Leipzig,04157,DED51,DEU
a3beabad-c6af-4c42-804c-bbcc86f3b382,01,LOT-0001,Bonn,53111,DEA22,DEU
b24c4956-df4a-4280-851f-1a21bc105482,01,LOT-0001,Nürnberg,90451,DE254,DEU
50e20b67-265d-4b6d-a1cc-a2c8cab29bd0,01,LOT-0001,Unna,59423,DEA5C,DEU
