noticeIdentifier,noticeVersion,lotIdentifier,scope,documentReferenceId,documentType,description,rawUrl,url
005970e4-fa83-4d72-b88d-6b8acfe47c4a,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://vergabe.bremen.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-1a06104565f-50b2fdecf1ed4a59,https://vergabe.bremen.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-1a06104565f-50b2fdecf1ed4a59
125814cb-3fd3-45fb-8ee4-1940fc409986,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://www.dtvp.de/Satellite/notice/CXP4YA2MPS2/documents,https://www.dtvp.de/Satellite/notice/CXP4YA2MPS2/documents
5136b73e-1a8c-4623-ba6e-68446d10b433,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://www.deutsches-ausschreibungsblatt.de/VN/X-VGWIL-2026-0071,https://www.deutsches-ausschreibungsblatt.de/VN/X-VGWIL-2026-0071
615b5280-a5cf-40f2-b7b9-3da4726c7de4,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://www.deutsches-ausschreibungsblatt.de/VN/X-VGWIL-2026-0072,https://www.deutsches-ausschreibungsblatt.de/VN/X-VGWIL-2026-0072
01a0a39a-b1ce-41e2-a40e-d2a19840eef3,01,LOT-0001,lot,n/a,non-restricted-document,,https://www.evergabe.de/unterlagen/01a0a398-4eb3-49b9-97d0-539cef6a757c/zustellweg-auswaehlen,https://www.evergabe.de/unterlagen/01a0a398-4eb3-49b9-97d0-539cef6a757c/zustellweg-auswaehlen
37ef6440-39ad-4711-b6d8-50cd3e259338,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://vergabemarktplatz.brandenburg.de/VMPSatellite/notice/CXP9YB2HXJC/documents,https://vergabemarktplatz.brandenburg.de/VMPSatellite/notice/CXP9YB2HXJC/documents
b66086b4-5a0c-43e5-beff-d9e5bd9b4747,01,LOT-0001,lot,b66086b4-5a0c-43e5-beff-d9e5bd9b4747,non-restricted-document,,https://www.deutsche-evergabe.de/dashboards/dashboard_off/b66086b4-5a0c-43e5-beff-d9e5bd9b4747,https://www.deutsche-evergabe.de/dashboards/dashboard_off/b66086b4-5a0c-43e5-beff-d9e5bd9b4747
bdb7cd0f-27a9-49e6-be6e-c80723885512,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://vergabeplattform.stadt-koeln.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-19f1383e88b-5abcf26144043661&,https://vergabeplattform.stadt-koeln.de/NetServer/TenderingProcedureDetails?function=_Details&TenderOID=54321-Tender-19f1383e88b-5abcf26144043661&
7d14c033-c833-4b40-8efc-e2ed271a3c3d,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://www.deutsches-ausschreibungsblatt.de/VN/X-VGWIL-2026-0070,https://www.deutsches-ausschreibungsblatt.de/VN/X-VGWIL-2026-0070
9d83ea1f-2e6a-4af3-9974-0b8a7823c726,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://www.deutsches-ausschreibungsblatt.de/VN/X-VGWIL-2026-0069,https://www.deutsches-ausschreibungsblatt.de/VN/X-VGWIL-2026-0069
741f8574-9ba3-434b-bf87-42f565cdff51,01,LOT-0000,lot,121016633,non-restricted-document,,https://www.meinauftrag.rib.de/public/DetailsByPlatformIdAndTenderId/platformId/7/tenderId/121016633,https://www.meinauftrag.rib.de/public/DetailsByPlatformIdAndTenderId/platformId/7/tenderId/121016633
85c9a7bb-cf66-405a-93c9-50857968cd15,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://www.vergabe24.de/vergabeunterlagen/54321-Tender-1a0a3e01455-17bd227848a21d60,https://www.vergabe24.de/vergabeunterlagen/54321-Tender-1a0a3e01455-17bd227848a21d60
77b9119d-d72d-4bca-adc2-6341ef20117a,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://vergabe.landbw.de/NetServer/PublicationControllerServlet?function=Detail&TWOID=54321-Tender-19fcd062b8d-270a0c2e4b9c0e6f,https://vergabe.landbw.de/NetServer/PublicationControllerServlet?function=Detail&TWOID=54321-Tender-19fcd062b8d-270a0c2e4b9c0e6f
abadc72a-717a-45fc-9044-e7eb3dad334a,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://www.dtvp.de/Satellite/notice/CXP4Y43MP08/documents,https://www.dtvp.de/Satellite/notice/CXP4Y43MP08/documents
3b62235d-ca80-4e03-9c3e-297de871fe80,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://vergabemarktplatz.brandenburg.de/VMPSatellite/notice/CXP9YCRHXHC/documents,https://vergabemarktplatz.brandenburg.de/VMPSatellite/notice/CXP9YCRHXHC/documents
3084e989-acb5-4689-8ebb-6bf0ad8e0903,01,LOT-0001,lot,01-3812.02,non-restricted-document,,https://plattform.aumass.de/Veroeffentlichung/av284a81-eu,https://plattform.aumass.de/Veroeffentlichung/av284a81-eu
07e2fa36-a8c8-4b6b-94d1-b5ec715848fc,01,LOT-0000,lot,152133,non-restricted-document,,https://www.meinauftrag.rib.de/public/DetailsByPlatformIdAndTenderId/platformId/3/tenderId/152133,https://www.meinauftrag.rib.de/public/DetailsByPlatformIdAndTenderId/platformId/3/tenderId/152133
10b4365a-23af-4cbd-874f-5faa960c37e5,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://www.dtvp.de/Satellite/notice/CXP4YMEMPNF/documents,https://www.dtvp.de/Satellite/notice/CXP4YMEMPNF/documents
2d885c65-7f8d-466b-ae79-a214d09abef4,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://www.vergabe24.de/vergabeunterlagen/54321-Tender-19cc2c491be-7b53c9361f9d722f,https://www.vergabe24.de/vergabeunterlagen/54321-Tender-19cc2c491be-7b53c9361f9d722f
78a13158-21b8-4927-8497-55f095cffba6,01,LOT-0001,lot,E46285987,non-restricted-document,,https://www.subreport.de/E46285987,https://www.subreport.de/E46285987
37cdd9a6-65fb-4c7d-b7f5-ad7c7befc670,01,LOT-0001,lot,av264fda-eu,non-restricted-document,,https://plattform.aumass.de/Veroeffentlichung/av286ae2-eu,https://plattform.aumass.de/Veroeffentlichung/av286ae2-eu
46d59055-2d6b-4dd0-8259-86b3ae67397c,01,LOT-0000,lot,210336,non-restricted-document,,https://www.meinauftrag.rib.de/public/DetailsByPlatformIdAndTenderId/platformId/2/tenderId/210336,https://www.meinauftrag.rib.de/public/DetailsByPlatformIdAndTenderId/platformId/2/tenderId/210336
3eb98c24-107b-4db4-9bc7-13790e23b295,01,LOT-0001,lot,SomeTenderDocID1,non-restricted-document,,https://www.dtvp.de/Satellite/notice/CXP4YMZMPG9/documents,https://www.dtvp.de/Satellite/notice/CXP4YMZMPG9/documents
4d70dd3a-19b8-45bb-8fe1-cc4dbf9f9bc0,01,LOT-0001,lot,av286b62-eu,non-restricted-document,,https://plattform.aumass.de/Veroeffentlichung/av286b62-eu,https://plattform.aumass.de/Veroeffentlichung/av286b62-eu
2127b926-d426-4e4b-903f-6ca78cf49240,01,LOT-0000,lot,TenderDoc,non-restricted-document,,https://vergabe.landbw.de/NetServer/PublicationControllerServlet?function=Detail&TWOID=54321-Tender-19fcd90104e-2fe5dfcad143b70c,https://vergabe.landbw.de/NetServer/PublicationControllerServlet?function=Detail&TWOID=54321-Tender-19fcd90104e-2fe5dfcad143b70c
